h_Country,h_RegNumber,h_Name,h_Website,merged,matchedOn,h_IsEcommerce,import from master,import from builtwith,score,h_HasMarketingDepartment,h_NOfEmployees,HasGoogleAdsOrFacebookAds,h_Industry1,h_Industry3,Industry_n_norm,h_HasFbOrGoogle,,h_Website_Match FB||GOOGLE
DK,16835048,NÜ Denmark,nu-denmark.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,31,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,boeme.dk
DK,34218501,JNG HOLDING 2012 ApS,theorg.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,31,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,beautyofseven.dk
DK,34461120,MAXMARA GMBH,maxmara.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,21,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,cappa.dk
DK,27345077,MØNTHUSET DANMARK A/S,monthuset.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,31,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,byraufffagerberg.dk
DK,25377052,LINCO SKO APS,lincosko.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,26,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,bnordahl.dk
DK,27385494,SIGNS & MARKS ApS,signs.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,31,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,anisimowblomst.dk
DK,27770851,AGITO MEDICAL A/S,agitomedical.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,35,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,TRUE,,power2bike.com
DK,31482429,EMERSON PROCESS MANAGEMENT A/S,emerson.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,56,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Architectural and engineering activities and related technical consultancy,,,,whodoyou.com
DK,32355315,TAKE AWAY MAD APS,just-eat.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,TRUE,,senseofstyle.dk
DK,30536665,EUPRY ApS,eupry.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,57,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of other machinery, equipment and supplies",,,,fribikeshop.dk
DK,26112001,INVENTIO.IT A/S,inventio.it,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,56,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of information and communication equipment,,TRUE,,spakompagniet.dk
DK,24179818,MAX FODGAARD A/S,fodgaard.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,67,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of other machinery, equipment and supplies",,,,mdundo.com
DK,18556839,CYKELPARTNER A/S,cykelpartner.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department"",""Has Ads Platform: Google|Meta""]",,,,100,TRUE,31,TRUE,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,juletra.dk
DK,33368178,JACOBSEN PLUS A/S,jacobsenplus.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,66,,Wholesale and retail trade; repair of motor vehicles and motorcycles,47.5,Furniture stores,,,nulkommanoget.dk
